suburb,address,room,type,price,method,seller,date,bathroom,car,council_area
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/2/2017,1,1,Yarra City Council
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,26/7/2016,1,1,Yarra City Council
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,1,0,Yarra City Council
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2,1,Yarra City Council
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/5/2016,1,0,Yarra City Council
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/7/2016,1,1,Yarra City Council
Airport West,50 Bedford St,3,h,730000,VB,Nelson,3/12/2016,2,1,Moonee Valley City Council
Airport West,50 Bedford St,3,h,770000,SP,Nelson,4/3/2017,2,1,Moonee Valley City Council
Airport West,23 Hart St,2,h,603000,S,Nelson,4/3/2017,1,1,Moonee Valley City Council
Airport West,1/80 Hawker St,3,t,700000,S,Brad,4/3/2017,2,2,Moonee Valley City Council
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,4/3/2017,1,1,Moonee Valley City Council
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,4/3/2017,1,1,Moonee Valley City Council
Airport West,54 Marshall Rd,3,h,720000,S,Barry,6/8/2016,1,1,Moonee Valley City Council
Airport West,36 Roberts Rd,4,h,785000,S,Considine,6/8/2016,1,2,Moonee Valley City Council
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,7/5/2016,3,2,Moonee Valley City Council
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/5/2016,1,1,Moonee Valley City Council
Airport West,3/19 Hart St,2,u,515000,S,Barry,7/11/2016,1,1,Moonee Valley City Council
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10/9/2016,1,1,Moonee Valley City Council
Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/2016,1,1,Moonee Valley City Council
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11/2/2017,1,1,Moonee Valley City Council
Airport West,145a Victory Rd,2,u,440000,S,Barry,13/8/2016,1,1,Moonee Valley City Council
Airport West,180 Parer Rd,3,h,830000,S,Barry,16/4/2016,1,2,Moonee Valley City Council
Airport West,4/54 Hawker St,2,u,462500,S,Barry,16/7/2016,1,1,Moonee Valley City Council
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,16/7/2016,2,2,Moonee Valley City Council
Airport West,174 Parer Rd,2,h,675000,S,Barry,16/7/2016,1,1,Moonee Valley City Council
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,16/7/2016,2,5,Moonee Valley City Council
Airport West,75 King St,3,h,910000,S,McDonald,17/9/2016,1,1,Moonee Valley City Council
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/9/2016,3,4,Moonee Valley City Council
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18/3/2017,2,2,Moonee Valley City Council
Airport West,106 Parer Rd,3,h,790000,S,Nelson,18/3/2017,1,3,Moonee Valley City Council
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18/6/2016,2,1,Moonee Valley City Council
Airport West,37 North St,3,t,825000,SP,Barry,19/11/2016,2,1,Moonee Valley City Council
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22/5/2016,1,1,Moonee Valley City Council
Airport West,110 Halsey Rd,3,h,805000,S,Barry,22/8/2016,1,1,Moonee Valley City Council
Airport West,2/13 North St,2,u,510000,S,Nelson,22/8/2016,1,1,Moonee Valley City Council
Airport West,105a Victory Rd,3,h,612000,S,Nelson,22/8/2016,2,1,Moonee Valley City Council
Airport West,117 Marshall Rd,3,h,662000,S,Brad,23/4/2016,1,2,Moonee Valley City Council
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,24/9/2016,3,2,Moonee Valley City Council
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,27/11/2016,1,2,Moonee Valley City Council
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27/11/2016,2,3,Moonee Valley City Council
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,3/9/2016,1,0,Port Phillip City Council
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,3/9/2016,1,0,Port Phillip City Council
Albert Park,94 Graham St,3,h,1850000,S,Greg,4/3/2017,2,0,Port Phillip City Council
Albert Park,396 Montague St,2,h,1436000,S,RT,4/3/2017,1,0,Port Phillip City Council
Albert Park,75 Graham St,2,h,1110000,S,Marshall,6/8/2016,1,0,Port Phillip City Council
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,7/5/2016,1,1,Port Phillip City Council
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,7/5/2016,2,1,Port Phillip City Council
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,7/11/2016,2,2,Port Phillip City Council
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/2016,2,1,Port Phillip City Council
Albert Park,29 Faussett St,2,h,2120000,S,Greg,10/9/2016,1,1,Port Phillip City Council
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,10/9/2016,1,1,Port Phillip City Council
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10/9/2016,2,1,Port Phillip City Council
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10/12/2016,2,1,Port Phillip City Council
Albert Park,23 Finlay St,5,h,2100000,S,Greg,10/12/2016,2,1,Port Phillip City Council
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,10/12/2016,1,0,Port Phillip City Council
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,12/6/2016,2,2,Port Phillip City Council
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,12/11/2016,1,0,Port Phillip City Council
Albert Park,70 Barrett St,3,h,2575000,S,Greg,15/10/2016,2,1,Port Phillip City Council
Albert Park,65 Graham St,2,h,1322500,S,Greg,15/10/2016,1,0,Port Phillip City Council
Albert Park,364 Montague St,2,h,1562500,S,Greg,15/10/2016,1,0,Port Phillip City Council
Albert Park,86 Mills St,3,h,2000000,VB,RT,16/4/2016,2,1,Port Phillip City Council
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,18/3/2017,1,0,Port Phillip City Council
Albert Park,97 Page St,3,h,3010000,S,Greg,18/3/2017,2,0,Port Phillip City Council
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,18/6/2016,3,1,Port Phillip City Council
Albert Park,10/140 Kerferd Rd,2,u,647000,S,Greg,22/5/2016,1,1,Port Phillip City Council
Albert Park,55 Merton St,3,h,2100000,SP,Marshall,23/4/2016,1,1,Port Phillip City Council
Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/2/2017,1,0,Port Phillip City Council
Albert Park,115 Page St,4,h,4735000,S,Marshall,25/2/2017,2,1,Port Phillip City Council
Albert Park,32 Page St,2,h,1340000,S,Greg,25/2/2017,1,0,Port Phillip City Council
Albert Park,34 Richardson St,3,h,1801000,S,hockingstuart,25/2/2017,1,1,Port Phillip City Council
Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,26/7/2016,3,1,Port Phillip City Council
Albert Park,22 Greig St,3,h,3755000,S,Greg,26/7/2016,2,2,Port Phillip City Council
Albert Park,27 Barrett St,4,h,2140000,S,Greg,27/6/2016,2,1,Port Phillip City Council
Albert Park,44 Greig St,2,h,1750000,S,Marshall,27/11/2016,1,1,Port Phillip City Council
Albert Park,6 Brooke St,2,h,980000,S,Greg,28/5/2016,1,0,Port Phillip City Council
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,28/8/2016,2,0,Port Phillip City Council
Albert Park,74 Bridport St,3,h,2800000,VB,Buxton,30/7/2016,3,1,Port Phillip City Council
Albert Park,9 Durham St,1,h,985000,S,Marshall,30/7/2016,1,0,Port Phillip City Council
Alphington,6 Smith St,4,h,2000000,S,Brace,3/9/2016,2,4,Darebin City Council
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,3/9/2016,2,2,Darebin City Council
Alphington,136A Fulham Rd,3,h,1492000,S,Jellis,4/3/2017,2,2,Darebin City Council
Alphington,44 Shiers St,4,h,1717500,S,Collins,8/10/2016,2,1,Darebin City Council
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,12/6/2016,4,4,Darebin City Council
Alphington,3/19 Harker St,2,u,525500,S,Miles,12/11/2016,1,1,Darebin City Council
Alphington,4/2 Miller St,2,t,805000,S,Miles,12/11/2016,2,3,Darebin City Council
Alphington,2/5 Yarana Rd,2,u,465000,S,McGrath,12/11/2016,1,1,Darebin City Council
Alphington,44 Naroon Rd,3,h,1540000,S,Nelson,16/4/2016,1,2,Darebin City Council
Alphington,3/98 Grange Rd,2,u,820000,S,Nelson,18/3/2017,1,1,Darebin City Council
Alphington,10 Bennett St,4,h,1830000,S,Nelson,19/11/2016,2,2,Darebin City Council
Alphington,38 Bennett St,4,h,2100000,S,Nelson,19/11/2016,2,2,Darebin City Council
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,22/5/2016,1,1,Darebin City Council
Alphington,5/5 Yarana Rd,2,u,390000,VB,Nelson,22/5/2016,1,1,Darebin City Council
Alphington,7/7 Chandler Hwy,2,t,650000,SP,Brace,24/9/2016,1,0,Darebin City Council
Alphington,1/14 Fulham Rd,2,u,512000,S,Love,25/2/2017,1,1,Darebin City Council
Alphington,22 Lowther St,3,h,1165000,S,Barry,27/6/2016,1,2,Darebin City Council
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,27/11/2016,2,2,Darebin City Council
Alphington,6 Naroon Rd,3,h,1485000,SP,McGrath,28/8/2016,0,0,Darebin City Council
Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/7/2016,2,3,Darebin City Council
Altona,158 Queen St,3,h,520000,VB,Greg,3/9/2016,2,1,Hobsons Bay City Council
Altona,59 Bracken Gr,5,h,1525000,S,Greg,3/12/2016,3,3,Hobsons Bay City Council
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,4/2/2016,1,2,Hobsons Bay City Council
Altona,4 Blyth St,3,h,1120000,S,Barlow,4/3/2017,1,2,Hobsons Bay City Council
Altona,29 Rose St,4,h,1780000,SP,Greg,4/6/2016,3,6,Hobsons Bay City Council
Altona,1/170 Blyth St,3,u,630000,S,Barlow,6/8/2016,1,2,Hobsons Bay City Council
Altona,5/35 Grieve Pde,2,u,406000,SP,hockingstuart,6/8/2016,1,1,Hobsons Bay City Council
Altona,156 Maidstone St,3,h,660000,VB,Greg,7/5/2016,1,1,Hobsons Bay City Council
Altona,11 Keeshan Ct,3,h,683500,S,Greg,7/11/2016,1,1,Hobsons Bay City Council
Altona,1/136 Queen St,2,u,580000,S,Barlow,8/10/2016,1,1,Hobsons Bay City Council
Altona,173 Queen St,3,h,1335000,S,hockingstuart,8/10/2016,1,4,Hobsons Bay City Council
Altona,1/265 Queen St,3,t,800000,SP,hockingstuart,8/10/2016,2,2,Hobsons Bay City Council
Altona,3/26 Grieve Pde,2,u,510000,S,Village,10/9/2016,1,1,Hobsons Bay City Council
Altona,261 Queen St,4,h,1070000,S,Barlow,10/9/2016,2,2,Hobsons Bay City Council
Altona,4/5 Rose St,2,u,425000,S,hockingstuart,10/9/2016,1,2,Hobsons Bay City Council
Altona,1/60 David St,3,u,605000,S,Jas,10/12/2016,2,2,Hobsons Bay City Council
Altona,1A Merritt Ct,3,t,705000,S,hockingstuart,11/2/2017,2,2,Hobsons Bay City Council
Altona,4/31 Millers Rd,2,u,391000,SP,Greg,11/2/2017,1,1,Hobsons Bay City Council
Altona,111/112 Pier St,2,u,440000,SP,hockingstuart,11/2/2017,1,1,Hobsons Bay City Council
Altona,24 Wren St,4,h,845000,S,hockingstuart,11/2/2017,1,2,Hobsons Bay City Council
Altona,1/152 Blyth St,3,t,743000,SP,Gunn&Co,12/11/2016,2,2,Hobsons Bay City Council
Altona,4/57 Blyth St,3,u,730000,SP,Barlow,13/8/2016,2,1,Hobsons Bay City Council
Altona,164 Maidstone St,3,h,635000,S,Sweeney,14/5/2016,1,4,Hobsons Bay City Council
Altona,3/25 Rayner St,2,u,620000,SP,hockingstuart,14/5/2016,1,1,Hobsons Bay City Council
Altona,3/46 Sargood St,2,u,447000,S,Burnham,15/10/2016,1,1,Hobsons Bay City Council
Altona,1/57 Blyth St,3,u,730000,SP,Barlow,16/4/2016,2,1,Hobsons Bay City Council
Altona,22 Fenfield St,3,h,678000,S,hockingstuart,16/4/2016,1,2,Hobsons Bay City Council
Altona,1/28 Seves St,3,h,712000,S,hockingstuart,17/9/2016,1,2,Hobsons Bay City Council
Altona,27 McIntyre Dr,3,h,840000,SP,Greg,18/3/2017,2,2,Hobsons Bay City Council
Altona,4 Boyd St,3,h,980000,S,Barlow,19/11/2016,1,2,Hobsons Bay City Council
Altona,12 Spear Ct,3,t,605100,S,hockingstuart,22/5/2016,2,0,Hobsons Bay City Council
Altona,3/20 Mulga St,3,u,577000,S,Williams,23/4/2016,2,1,Hobsons Bay City Council
Altona,51 Millers Rd,4,h,1030000,S,Barlow,25/2/2017,1,0,Hobsons Bay City Council
Altona,2/119 Railway St N,3,u,605000,S,Barlow,25/2/2017,1,2,Hobsons Bay City Council
Altona,24 McIntyre Dr,3,h,753000,S,Barlow,27/6/2016,2,2,Hobsons Bay City Council
Altona,104 Maidstone St,2,h,857000,SP,hockingstuart,27/11/2016,2,1,Hobsons Bay City Council
Altona,49 Bent St,3,h,1500000,S,Barlow,28/5/2016,1,1,Hobsons Bay City Council
Altona,5/57 Blyth St,3,u,730000,SP,Barlow,28/5/2016,2,1,Hobsons Bay City Council
Altona,15 Kookaburra St,3,h,900000,S,Sweeney,28/5/2016,1,4,Hobsons Bay City Council
Altona,219 Civic Pde,3,h,740000,S,Greg,28/8/2016,1,2,Hobsons Bay City Council
Altona,3 Curtin Ct,4,h,931000,S,Sweeney,28/8/2016,2,3,Hobsons Bay City Council
Altona,2/60 David St,2,h,535600,SP,Compton,30/7/2016,1,1,Hobsons Bay City Council
Altona North,45 Hearn St,5,h,1085000,S,FN,3/9/2016,3,6,Hobsons Bay City Council
Altona North,4 Knapp St,3,h,781000,S,Jas,3/9/2016,1,2,Hobsons Bay City Council
Altona North,21 Hatherley Gr,3,h,750000,SP,Jas,4/3/2017,1,3,Hobsons Bay City Council
Altona North,3/66 Marion St,2,t,421000,S,hockingstuart,4/3/2017,1,1,Hobsons Bay City Council
Altona North,153 Mills St,3,h,1405000,S,Sweeney,4/3/2017,1,3,Hobsons Bay City Council
Altona North,33 Carthy St,3,h,683000,S,FN,4/6/2016,1,2,Hobsons Bay City Council
Altona North,16 Harris St,3,h,623000,S,Sweeney,4/6/2016,1,3,Hobsons Bay City Council
Altona North,1/5 Little St,3,h,720000,VB,Greg,6/8/2016,2,1,Hobsons Bay City Council
Altona North,1/95 Mills St,3,h,588000,S,Williams,7/5/2016,1,1,Hobsons Bay City Council
Altona North,25 Allan St,4,h,875000,SP,Jas,8/10/2016,1,4,Hobsons Bay City Council
Altona North,21 Hatherley Gr,3,h,700000,VB,Jas,10/12/2016,1,3,Hobsons Bay City Council
Altona North,1/256 Mason St,2,t,640000,S,Williams,11/3/2017,1,1,Hobsons Bay City Council
Altona North,21 Allan St,4,h,650000,SP,Williams,12/6/2016,1,4,Hobsons Bay City Council
Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/5/2016,2,2,Hobsons Bay City Council
Altona North,11 Beevers St,3,h,708000,S,Greg,15/10/2016,1,2,Hobsons Bay City Council
Altona North,10 Murphy St,4,h,965000,SP,Gunn&Co,15/10/2016,1,4,Hobsons Bay City Council
Altona North,16 Beevers St,3,h,680000,S,Sweeney,19/11/2016,1,3,Hobsons Bay City Council
Altona North,21 Neal Ct,3,h,770000,SP,hockingstuart,19/11/2016,1,3,Hobsons Bay City Council
Altona North,31 Duosa Rd,3,h,923000,S,Greg,22/5/2016,1,2,Hobsons Bay City Council
Altona North,252 Millers Rd,4,h,693000,SP,Raine&Horne,22/5/2016,2,4,Hobsons Bay City Council
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,22/8/2016,2,2,Hobsons Bay City Council
Altona North,2 Gadsden St,3,h,728500,S,Jas,22/8/2016,1,1,Hobsons Bay City Council
Altona North,24 Hansen St,3,h,931000,S,hockingstuart,22/8/2016,2,1,Hobsons Bay City Council
Altona North,4 Prismall St,3,h,988000,S,Sweeney,22/8/2016,1,4,Hobsons Bay City Council
Altona North,122 McIntosh Rd,3,h,590000,S,Village,23/4/2016,1,2,Hobsons Bay City Council
Altona North,35 May St,2,h,610000,S,RT,24/9/2016,1,2,Hobsons Bay City Council
Altona North,6 Hill St,3,h,815000,S,hockingstuart,25/2/2017,2,3,Hobsons Bay City Council
Altona North,84 May St,4,h,970000,S,Greg,25/2/2017,1,2,Hobsons Bay City Council
Altona North,155 Chambers Rd,4,h,760000,S,Hunter,27/6/2016,1,3,Hobsons Bay City Council
Altona North,268d Mason St,4,t,847500,S,RT,27/6/2016,3,1,Hobsons Bay City Council
Altona North,5 Cresser St,4,h,1200000,SP,RT,27/11/2016,1,4,Hobsons Bay City Council
Altona North,107 McIntosh Rd,3,h,700000,SP,Hunter,27/11/2016,1,1,Hobsons Bay City Council
Altona North,4/221 Blackshaws Rd,2,u,292000,S,Jas,28/8/2016,1,1,Hobsons Bay City Council
Armadale,8/19 Mercer Rd,2,u,599000,S,Jellis,3/9/2016,1,1,Stonnington City Council
Armadale,1/42 Adelaide St,2,u,550000,VB,Noel,3/12/2016,1,0,Stonnington City Council
Armadale,14/71 Denbigh Rd,3,u,995000,S,Marshall,3/12/2016,2,2,Stonnington City Council
Armadale,4/769 High St,3,t,1205000,S,Jellis,3/12/2016,2,2,Stonnington City Council
Armadale,7 Llaneast St,3,h,1939000,S,Jellis,3/12/2016,2,2,Stonnington City Council
Armadale,9/55 Northcote Rd,1,u,421500,S,Biggin,3/12/2016,1,0,Stonnington City Council
Armadale,28 Cambridge St,3,h,1870000,S,Hodges,4/3/2017,1,1,Stonnington City Council
Armadale,3/16 Fulton St,2,u,678000,S,hockingstuart,4/3/2017,1,2,Stonnington City Council
Armadale,3/20 Mercer Rd,3,t,1918000,SP,Jellis,4/3/2017,2,2,Stonnington City Council
Armadale,1/77 Wattletree Rd,2,u,660000,SP,hockingstuart,4/3/2017,1,1,Stonnington City Council
Armadale,12 Willis St,3,h,2050000,S,Marshall,4/3/2017,2,1,Stonnington City Council
Armadale,8/71 Denbigh Rd,2,u,700000,VB,Jellis,4/6/2016,1,2,Stonnington City Council
Armadale,11/17 Myamyn St,2,u,3625000,S,Jellis,4/6/2016,2,2,Stonnington City Council
Armadale,526 Orrong Rd,4,h,3000000,VB,Jellis,4/6/2016,2,2,Stonnington City Council
Armadale,6/26 Mercer Rd,2,u,825000,S,Jellis,7/5/2016,1,1,Stonnington City Council
Armadale,538a Orrong Rd,3,t,1586000,S,RT,7/5/2016,2,2,Stonnington City Council
Armadale,18/41 Kooyong Rd,2,u,645000,S,Marshall,8/10/2016,1,1,Stonnington City Council
Armadale,10 William St,1,h,1435000,SP,Jellis,8/10/2016,2,1,Stonnington City Council
Armadale,4/20 Mercer Rd,2,h,1780000,S,Marshall,10/12/2016,2,2,Stonnington City Council
Armadale,8/58 Sutherland Rd,2,u,592500,S,hockingstuart,10/12/2016,1,1,Stonnington City Council
Armadale,40 New St,2,h,1210000,S,Marshall,12/11/2016,1,0,Stonnington City Council
Armadale,35 Northcote Rd,4,h,2801000,S,Marshall,12/11/2016,2,2,Stonnington City Council
Armadale,7/53 Wattletree Rd,1,u,390000,S,Jellis,14/5/2016,1,0,Stonnington City Council
Armadale,8/569 Orrong Rd,1,u,324000,S,Jellis,16/4/2016,1,1,Stonnington City Council
Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/9/2016,3,4,Stonnington City Council
Armadale,34a Rose St,2,h,1125000,S,RT,17/9/2016,1,2,Stonnington City Council
Armadale,42 Rose St,3,h,2250000,S,Marshall,17/9/2016,3,1,Stonnington City Council
Armadale,12 Auburn Gr,3,h,2360000,S,hockingstuart,18/3/2017,2,0,Stonnington City Council
Armadale,31 Hume St,2,h,1900000,VB,Jellis,18/3/2017,2,0,Stonnington City Council
Armadale,10/581 Orrong Rd,1,u,440000,SP,Jellis,18/3/2017,1,1,Stonnington City Council
Armadale,19 Glassford St,3,h,2365000,S,Marshall,18/6/2016,2,1,Stonnington City Council
Armadale,14 New St,3,h,1300000,VB,Jellis,18/6/2016,1,2,Stonnington City Council
Armadale,7/501 Orrong Rd,3,u,732000,S,Gary,18/6/2016,2,2,Stonnington City Council
Armadale,6/51 Armadale St,2,u,704000,SP,Greg,19/11/2016,1,1,Stonnington City Council
Armadale,12/41 Kooyong Rd,2,u,620000,VB,Marshall,19/11/2016,1,1,Stonnington City Council
Armadale,63 Denbigh Rd,3,h,1900000,S,Marshall,22/5/2016,1,2,Stonnington City Council
Armadale,13/56 Sutherland Rd,1,u,315000,SP,Fletchers,22/8/2016,1,1,Stonnington City Council
Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25/2/2017,1,1,Stonnington City Council
Armadale,2/377 Dandenong Rd,2,u,872000,S,Jellis,25/2/2017,1,1,Stonnington City Council
Armadale,1/14 Denbigh Rd,2,u,598000,S,hockingstuart,25/2/2017,1,1,Stonnington City Council
Armadale,75 Sutherland Rd,3,h,1285000,S,Marshall,25/2/2017,1,2,Stonnington City Council
Armadale,61 Union St,4,h,3660000,S,Jellis,25/2/2017,3,2,Stonnington City Council
Armadale,1/403 Dandenong Rd,2,u,520000,S,hockingstuart,27/6/2016,1,1,Stonnington City Council
Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/2016,1,2,Stonnington City Council
Armadale,44 Hampden Rd,4,h,4200000,VB,Kay,27/11/2016,3,3,Stonnington City Council
Armadale,3/769 High St,3,t,1101000,S,Jellis,27/11/2016,1,2,Stonnington City Council
Armadale,4 Mercer Rd,3,h,3512500,S,Marshall,27/11/2016,2,2,Stonnington City Council
Armadale,1/31 Mercer Rd,3,u,869000,S,Jellis,28/5/2016,1,1,Stonnington City Council
Armadale,16 Llaneast St,5,h,2810000,S,Marshall,28/8/2016,2,2,Stonnington City Council
Armadale,2/532 Orrong Rd,2,u,565000,S,Ray,28/8/2016,1,1,Stonnington City Council
Armadale,5/555 Orrong Rd,1,u,567000,S,hockingstuart,28/8/2016,1,1,Stonnington City Council
Armadale,3/50 Denbigh Rd,2,u,546000,SP,hockingstuart,30/7/2016,0,0,Stonnington City Council
Armadale,7/844 Malvern Rd,2,u,471500,S,Ray,30/7/2016,1,1,Stonnington City Council
Ascot Vale,2/43 Roxburgh St,2,u,455000,S,Nelson,3/9/2016,1,2,Moonee Valley City Council
Ascot Vale,30 Rothwell St,3,h,940000,S,Nelson,3/12/2016,1,2,Moonee Valley City Council
Ascot Vale,9/5 Rothwell St,2,u,467000,SP,Brad,3/12/2016,1,1,Moonee Valley City Council
Ascot Vale,7 Francis St,3,h,1380000,SP,Nelson,4/3/2017,2,2,Moonee Valley City Council
Ascot Vale,2/21 Harold St,2,u,490000,VB,Jellis,4/3/2017,1,1,Moonee Valley City Council
Ascot Vale,44 The Parade,4,h,1850000,S,Brad,4/3/2017,3,1,Moonee Valley City Council
Ascot Vale,97 Walter St,3,h,1284000,S,Woodards,4/3/2017,1,2,Moonee Valley City Council
Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,4/6/2016,2,2,Moonee Valley City Council
Ascot Vale,119 Roseberry St,2,h,750000,SP,Maddison,4/6/2016,1,1,Moonee Valley City Council
Ascot Vale,10 Fenton St,2,h,1053000,S,Nelson,6/8/2016,1,1,Moonee Valley City Council
Ascot Vale,10 McCully St,3,h,1377000,S,Nelson,6/8/2016,1,1,Moonee Valley City Council
Ascot Vale,120 Epsom Rd,3,h,970000,S,Brad,7/5/2016,1,2,Moonee Valley City Council
Ascot Vale,47 Hurtle St,2,h,940000,S,Nelson,7/5/2016,1,1,Moonee Valley City Council
Ascot Vale,4 The Parade,2,h,950000,SP,Raine,7/5/2016,1,1,Moonee Valley City Council
Ascot Vale,1/17 Epsom Rd,2,u,685000,S,Brad,7/11/2016,1,2,Moonee Valley City Council
Ascot Vale,41 Monash St,3,h,1230000,S,Nelson,8/10/2016,1,2,Moonee Valley City Council
Ascot Vale,2/78 Ormond Rd,2,h,636500,S,Jellis,8/10/2016,1,1,Moonee Valley City Council
Ascot Vale,83 Roseberry St,3,h,910000,S,Raine,8/10/2016,1,0,Moonee Valley City Council
Ascot Vale,33 Dalgety Dr,3,h,960000,S,Walshe,10/12/2016,2,2,Moonee Valley City Council
Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,10/12/2016,1,1,Moonee Valley City Council
Ascot Vale,2 The Parade,2,h,965000,S,Nelson,10/12/2016,1,1,Moonee Valley City Council
Ascot Vale,78 The Parade,3,h,1440000,S,Nelson,11/2/2017,1,1,Moonee Valley City Council
